doc_id,source_type,baseline_date,baseline_title,baseline_url,method
crm::press::2025-05-28::salesforce-reports-record-first-quarter-fiscal-2026-results-::be4649b4,newsroom,2025-05-28,Salesforce Reports Record First Quarter Fiscal 2026 Results Exceeds Guidance Across All Metrics; cRPO up 12% Y/Y,https://www.salesforce.com/news/press-releases/2025/05/28/fy26-q1-earnings/?bc=DB,rss_pubdate
crm::press::2025-06-03::salesforce-and-liv-golf-announce-strategic-partnership-to-po::2a69d849,newsroom,2025-06-03,Salesforce and LIV Golf Announce Strategic Partnership to Power New Era of Fan and Player Experiences with Agentforce,https://www.salesforce.com/news/press-releases/2025/06/03/liv-golf-agentforce-experiences/?bc=DB,rss_pubdate
crm::press::2025-03-05::salesforce-launches-agentforce-2dx-new-capabilities-embed-pr::af1bdf2e,newsroom,2025-03-05,"Salesforce Launches Agentforce 2dx: New Capabilities Embed Proactive Agentic AI into Any Workflow, Create Multimodal Experiences, Extend Digital Labor",https://www.salesforce.com/news/press-releases/2025/03/05/agentforce-2dx-news/?bc=DB,rss_pubdate
crm::press::2024-12-17::introducing-agentforce-2-0-the-digital-labor-platform-for-bu::b6767e51,newsroom,2024-12-17,Introducing Agentforce 2.0: The Digital Labor Platform for Building a Limitless Workforce,https://www.salesforce.com/news/press-releases/2024/12/17/agentforce-2-0-announcement/?bc=DB,rss_pubdate
crm::press::2025-03-04::salesforce-launches-agentexchange-the-trusted-marketplace-fo::79c83fa9,newsroom,2025-03-04,Salesforce Launches AgentExchange: the Trusted Marketplace for Agentforce,https://www.salesforce.com/news/press-releases/2025/03/04/agentexchange-announcement/?bc=DB,rss_pubdate
crm::press::2025-07-09::salesforce-appoints-amy-chang-and-david-b-kirk-to-its-board-::c224c273,newsroom,2025-07-09,Salesforce Appoints Amy Chang and David B. Kirk to its Board of Directors,https://www.salesforce.com/news/press-releases/2025/07/09/salesforce-appoints-amy-chang-and-david-b-kirk-to-its-board-of-directors/?bc=DB,rss_pubdate
crm::press::2025-01-10::salesforce-unveils-agentforce-for-retail-to-boost-productivi::002044b2,newsroom,2025-01-10,Salesforce Unveils Agentforce for Retail to Boost Productivity with Digital Labor and Retail Cloud to Unite In-Store and Digital Shopping,https://www.salesforce.com/news/press-releases/2025/01/10/agentforce-retail-cloud-pos-announcement/?bc=DB,rss_pubdate
crm::press::2024-12-04::salesforce-data-reveals-new-cyber-week-all-time-high-314-9b-::22fc03d0,newsroom,2024-12-04,Salesforce Data Reveals New Cyber Week All-Time High: $314.9B in Global Sales,https://www.salesforce.com/news/press-releases/2024/12/04/cyber-week-ai-sales/?bc=DB,rss_pubdate
crm::press::2025-02-10::salesforce-announces-500m-investment-in-saudi-arabia-to-driv::6917743a,newsroom,2025-02-10,Salesforce Announces $500M Investment in Saudi Arabia to Drive AI Innovation and Growth,https://www.salesforce.com/news/press-releases/2025/02/10/saudi-arabia-investment/?bc=DB,rss_pubdate
crm::press::2025-05-29::salesforce-partners-with-ferrari-to-elevate-the-client-8217-::a722a5a3,newsroom,2025-05-29,Salesforce Partners with Ferrari to Elevate the Client&#8217;s Journey Worldwide,https://www.salesforce.com/news/press-releases/2025/05/28/ferrari-agentforce-crm-elevates-client-experience/?bc=DB,rss_pubdate
crm::press::2025-06-23::salesforce-launches-agentforce-3-to-solve-the-biggest-blocke::0d47e9a6,newsroom,2025-06-23,Salesforce Launches Agentforce 3 to Solve the Biggest Blockers to Scaling AI Agents: Visibility and Control,https://www.salesforce.com/news/press-releases/2025/06/23/agentforce-3-announcement/?bc=DB,rss_pubdate
crm::press::2025-03-12::salesforce-to-invest-usd-1b-in-singapore-over-5-years::588517d1,newsroom,2025-03-12,Salesforce to Invest USD $1B in Singapore over 5 Years,https://www.salesforce.com/news/press-releases/2025/03/11/singapore-investment/?bc=DB,rss_pubdate
crm::press::2025-02-24::salesforce-and-google-bring-gemini-to-agentforce-enable-more::980fbb98,newsroom,2025-02-24,"Salesforce and Google Bring Gemini to Agentforce, Enable More Customer Choice in Major Partnership Expansion",https://www.salesforce.com/news/press-releases/2025/02/24/google-partnership-expansion-gemini-agentforce/?bc=DB,rss_pubdate
crm::press::2025-05-08::salesforce-unveils-life-sciences-partner-network-to-accelera::86839d22,newsroom,2025-05-08,Salesforce Unveils Life Sciences Partner Network to Accelerate Digital Labor and Data Programs,https://www.salesforce.com/news/press-releases/2025/05/08/partner-network-for-life-sciences-announcement/?bc=DB,rss_pubdate
crm::press::2025-05-15::salesforce-introduces-new-flexible-agentforce-pricing-to-acc::3d0f8a61,newsroom,2025-05-15,Salesforce Introduces New Flexible Agentforce Pricing to Accelerate the Digital Labor Revolution,https://www.salesforce.com/news/press-releases/2025/05/15/agentforce-flexible-pricing-news/?bc=DB,rss_pubdate
crm::press::2025-02-26::salesforce-announces-fourth-quarter-and-fiscal-year-2025-res::eec1d5f8,newsroom,2025-02-26,Salesforce Announces Fourth Quarter and Fiscal Year 2025 Results,https://www.salesforce.com/news/press-releases/2025/02/26/fy25-q4-earnings/?bc=DB,rss_pubdate
