URL,Status,Status Code,Response Time (s),Error,Document Count
https://developer.salesforce.com/docs/einstein/genai/guide/agent-api-examples.html,Healthy,200,0.07,,1
https://developer.salesforce.com/docs/einstein/genai/guide/agent-api-get-started.html,Healthy,200,0.02,,1
https://developer.salesforce.com/docs/einstein/genai/guide/agent-api.html,Healthy,200,0.02,,1
https://developer.salesforce.com/docs/einstein/genai/guide/get-started-agents.html,Healthy,200,0.01,,1
https://en.wikipedia.org/wiki/Salesforce,Healthy,200,0.12,,2
https://help.salesforce.com/s/articleView?id=sf.copilot_intro.htm&language=en_US&type=5,Healthy,200,0.36,,2
https://investor.salesforce.com/esg/default.aspx,Healthy,200,0.36,,1
https://investor.salesforce.com/events-and-presentations/default.aspx,Healthy,200,0.11,,1
https://investor.salesforce.com/financials/annual-reports/default.aspx,Healthy,200,0.14,,1
https://investor.salesforce.com/financials/quarterly-results/default.aspx,Healthy,200,0.46,,1
https://investor.salesforce.com/financials/sec-filings/default.aspx,Healthy,200,0.14,,1
https://investor.salesforce.com/governance/board-of-directors/default.aspx,Healthy,200,0.11,,1
https://investor.salesforce.com/governance/executive-management/default.aspx,Healthy,200,0.11,,1
https://investor.salesforce.com/governance/governance-documents/default.aspx,Healthy,200,0.09,,1
https://investor.salesforce.com/news/default.aspx,Healthy,200,0.09,,1
https://investor.salesforce.com/resources/investor-contacts/default.aspx,Healthy,200,0.09,,1
https://investor.salesforce.com/resources/investor-email-alerts/default.aspx,Healthy,200,0.09,,1
https://investor.salesforce.com/resources/investor-faqs/default.aspx,Healthy,200,0.11,,1
https://investor.salesforce.com/stock-info/default.aspx,Healthy,200,0.10,,1
https://www.salesforce.com/agentforce/?bc=DB,Healthy,200,0.10,,1
https://www.salesforce.com/analytics/?bc=DB,Healthy,200,0.72,,1
https://www.salesforce.com/commerce/?bc=DB,Healthy,200,0.66,,1
https://www.salesforce.com/company/careers/?bc=DB,Healthy,200,0.03,,1
https://www.salesforce.com/company/equality/?bc=DB,Healthy,200,3.31,,1
https://www.salesforce.com/company/leadership/?bc=DB,Healthy,200,0.71,,1
https://www.salesforce.com/company/legal/?bc=DB,Healthy,200,0.53,,1
https://www.salesforce.com/company/legal/privacy/?bc=DB,Healthy,200,0.06,,1
https://www.salesforce.com/company/our-story/?bc=DB,Healthy,200,1.15,,1
https://www.salesforce.com/company/sustainability/?bc=DB,Healthy,200,0.63,,1
https://www.salesforce.com/data/?bc=DB,Healthy,200,0.03,,2
https://www.salesforce.com/marketing/?bc=DB,Healthy,200,0.03,,1
https://www.salesforce.com/mulesoft/?bc=DB,Healthy,200,0.08,,1
https://www.salesforce.com/platform/?bc=DB,Healthy,200,0.04,,1
https://www.salesforce.com/products/what-is-salesforce/?bc=DB,Healthy,200,0.09,,1
https://www.salesforce.com/sales/cloud/?bc=DB,Healthy,200,1.12,,1
https://www.salesforce.com/service/cloud/?bc=DB,Healthy,200,0.68,,1
https://www.sec.gov/Archives/edgar/data/1108524/000110852425000002/crm-20250226.htm,Healthy,200,0.14,,1
https://www.sec.gov/Archives/edgar/data/1108524/000110852425000006/crm-20250131.htm,Healthy,200,0.05,,1
https://www.sec.gov/Archives/edgar/data/1108524/000110852425000019/salesforce_fy25annualreport.pdf,Healthy,200,0.09,,1
https://www.sec.gov/Archives/edgar/data/1108524/000110852425000027/crm-20250528.htm,Healthy,200,0.03,,1
https://www.sec.gov/Archives/edgar/data/1108524/000110852425000030/crm-20250430.htm,Healthy,200,0.03,,1
https://www.sec.gov/Archives/edgar/data/1108524/000110852425000033/crm-20250605.htm,Healthy,200,0.10,,1
https://www.salesforce.com/news/?bc=DB,Unhealthy,N/A,6.27,"HTTPSConnectionPool(host='www.salesforce.com', port=443): Max retries exceeded with url: /news/?bc=DB (Caused by ResponseError('too many 500 error responses'))",1
